Date,AAPL,MSFT,GOOGL,AMZN,NVDA
2015-01-02,24.21489715576172,39.76768493652344,26.260456085205078,15.425999641418457,0.4829852283000946
2015-01-05,23.532716751098633,39.40199279785156,25.760093688964844,15.10949993133545,0.47482752799987793
2015-01-06,23.534934997558594,38.82368469238281,25.124347686767578,14.76449966430664,0.46043163537979126
2015-01-07,23.864948272705078,39.31693649291992,25.050457000732422,14.920999526977539,0.4592318534851074
2015-01-08,24.781892776489258,40.47358322143555,25.137737274169922,15.02299976348877,0.4765070974826813
2015-01-09,24.808473587036133,40.133384704589844,24.830772399902344,14.846500396728516,0.4784265160560608
2015-01-12,24.197172164916992,39.63161087036133,24.649276733398438,14.570500373840332,0.47242826223373413
2015-01-13,24.412015914916992,39.42750549316406,24.884328842163086,14.737000465393066,0.47170838713645935
2015-01-14,24.318988800048828,39.087318420410156,25.08913803100586,14.66349983215332,0.47362789511680603
2015-01-15,23.658964157104492,38.6790885925293,24.993925094604492,14.34749984741211,0.4702688157558441
2015-01-16,23.47513771057129,39.32544708251953,25.313785552978516,14.536999702453613,0.4789063334465027
2015-01-20,24.079784393310547,39.45302200317383,25.287996292114258,14.472000122070312,0.48034605383872986
2015-01-21,24.26361846923828,39.05331802368164,25.80621337890625,14.862500190734863,0.4870641529560089
2015-01-22,24.89485740661621,40.08234405517578,26.6447811126709,15.515999794006348,0.49546170234680176
2015-01-23,25.02330780029297,40.1248893737793,26.87537384033203,15.619500160217285,0.4969015419483185
2015-01-26,25.049890518188477,39.98030471801758,26.61602020263672,15.482999801635742,0.4947419762611389
2015-01-27,24.172805786132812,36.280799865722656,25.845884323120117,15.337499618530273,0.47098854184150696
2015-01-28,25.539371490478516,35.03061294555664,25.411474227905273,15.195500373840332,0.4633106589317322
2015-01-29,26.334497451782227,35.72797393798828,25.451148986816406,15.58899974822998,0.474587619304657
2015-01-30,25.949119567871094,34.358741760253906,26.65717887878418,17.726499557495117,0.460671603679657
2015-02-02,26.27469825744629,35.10713577270508,26.391870498657227,18.223499298095703,0.4707486927509308
2015-02-03,26.279132843017578,35.3792839050293,26.446420669555664,18.177499771118164,0.48250532150268555
2015-02-04,26.480680465698242,35.58339309692383,26.089370727539062,18.237499237060547,0.48370519280433655
2015-02-05,26.6696834564209,36.1021728515625,26.274343490600586,18.694499969482422,0.49162283539772034
2015-02-06,26.44510269165039,36.06815719604492,26.475183486938477,18.714000701904297,0.4894634783267975
2015-02-09,26.620763778686523,36.0256462097168,26.247068405151367,18.527999877929688,0.48898348212242126
2015-02-10,27.132184982299805,36.229766845703125,26.786609649658203,18.649999618530273,0.5026597380638123
2015-02-11,27.768131256103516,36.04265213012695,26.679494857788086,18.756999969482422,0.4993007183074951
2015-02-12,28.119464874267578,36.646488189697266,27.07671356201172,18.85849952697754,0.5350508093833923
2015-02-13,28.257326126098633,37.30984115600586,27.33209991455078,19.09149932861328,0.5352904200553894
2015-02-17,28.42409324645996,37.32697677612305,27.027118682861328,18.771499633789062,0.5369701385498047
2015-02-18,28.62198829650879,37.28415298461914,26.91008758544922,18.668500900268555,0.5307318568229675
2015-02-19,28.561952590942383,37.25845718383789,27.098529815673828,18.950000762939453,0.532171368598938
2015-02-20,28.795429229736328,37.566795349121094,26.867938995361328,19.183000564575195,0.5360104441642761
2015-02-23,29.573692321777344,37.81520080566406,26.530725479125977,19.006999969482422,0.5316917896270752
2015-02-24,29.38913345336914,37.76380157470703,26.711729049682617,18.929500579833984,0.537351667881012
2015-02-25,28.637561798095703,37.67814636230469,27.14217185974121,19.26849937438965,0.5332571268081665
2015-02-26,29.000003814697266,37.73810577392578,27.735267639160156,19.239999771118164,0.5347023010253906
2015-02-27,28.564178466796875,37.5582389831543,27.90089988708496,19.007999420166016,0.5313303470611572
2015-03-02,28.704261779785156,37.58393478393555,28.515317916870117,19.283000946044922,0.5443368554115295
2015-03-03,28.764307022094727,37.07002258300781,28.70227813720703,19.230499267578125,0.5342205762863159
2015-03-04,28.581972122192383,36.88157653808594,28.67946434020996,19.13599967956543,0.5402422547340393
2015-03-05,28.10834503173828,36.924415588378906,28.833194732666016,19.39150047302246,0.5505990386009216
2015-03-06,28.15059471130371,36.28202438354492,28.410188674926758,19.004499435424805,0.5431324243545532
2015-03-09,28.270658493041992,36.70170974731445,28.469696044921875,18.92799949645996,0.5445776581764221
2015-03-10,27.685861587524414,35.9993782043457,27.763036727905273,18.475500106811523,0.553970992565155
2015-03-11,27.181106567382812,35.956546783447266,27.556743621826172,18.318500518798828,0.5510806441307068
2015-03-12,27.672521591186523,35.1342887878418,27.82849884033203,18.711999893188477,0.5460225939750671
2015-03-13,27.481298446655273,35.44264221191406,27.4233455657959,18.52899932861328,0.5467450022697449
2015-03-16,27.783702850341797,35.5968132019043,27.851806640625,18.667499542236328,0.5532483458518982
2015-03-17,28.24842643737793,35.71672439575195,27.651954650878906,18.59600067138672,0.5599925518035889
2015-03-18,28.566404342651367,36.40193557739258,28.07595443725586,18.756999969482422,0.5508398413658142
2015-03-19,28.3507137298584,36.22207260131836,27.95247459411621,18.66200065612793,0.5592697262763977
2015-03-20,27.99494171142578,36.727413177490234,28.015947341918945,18.92449951171875,0.5652912259101868
2015-03-23,28.286224365234375,36.710269927978516,28.036775588989258,18.75550079345703,0.5469861626625061
2015-03-24,28.17060661315918,36.74454879760742,28.640289306640625,18.704500198364258,0.5395196080207825
2015-03-25,27.434595108032227,35.51116180419922,28.11760902404785,18.54800033569336,0.5067629814147949
2015-03-26,27.625825881958008,35.29703140258789,27.950984954833984,18.36750030517578,0.5050771236419678
2015-03-27,27.405689239501953,35.09147262573242,27.64898109436035,18.527999877929688,0.5149520635604858
2015-03-30,28.099451065063477,35.08291244506836,27.827011108398438,18.72949981689453,0.517119824886322
2015-03-31,27.668073654174805,34.825958251953125,27.507648468017578,18.604999542236328,0.504113495349884
2015-04-01,27.6280517578125,34.87733840942383,27.249286651611328,18.51300048828125,0.5060403943061829
2015-04-02,27.8659725189209,34.509033203125,26.843637466430664,18.612499237060547,0.5072445273399353
2015-04-06,28.31736183166504,35.5882453918457,26.97455406188965,18.851999282836914,0.5219369530677795
2015-04-07,28.0194034576416,35.57111358642578,27.019681930541992,18.720500946044922,0.5265132188796997
2015-04-08,27.92823600769043,35.47688293457031,27.21704864501953,19.059999465942383,0.5303668975830078
2015-04-09,28.141698837280273,35.52829360961914,27.176387786865234,19.177000045776367,0.5426507592201233
2015-04-10,28.261770248413086,35.733863830566406,27.202177047729492,19.13249969482422,0.5481903553009033
2015-04-13,28.206178665161133,35.768123626708984,27.20713233947754,19.118000030517578,0.5431324243545532
2015-04-14,28.08388328552246,35.673912048339844,26.76776695251465,19.25550079345703,0.5385561585426331
2015-04-15,28.19062614440918,36.19637680053711,26.83024787902832,19.172500610351562,0.545059323310852
2015-04-16,28.05497932434082,36.11071014404297,26.953231811523438,19.302000045776367,0.54168701171875
2015-04-17,27.739225387573242,35.64820861816406,26.418649673461914,18.777999877929688,0.5347023010253906
2015-04-20,28.372943878173828,36.753108978271484,27.00331687927246,19.475500106811523,0.5320531129837036
2015-04-21,28.219520568847656,36.521846771240234,26.923477172851562,19.55900001525879,0.5313303470611572
2015-04-22,28.599754333496094,36.82163619995117,27.23391342163086,19.489999771118164,0.537351667881012
2015-04-23,28.83322525024414,37.12141418457031,27.644519805908203,19.499500274658203,0.5351839661598206
2015-04-24,28.9688663482666,41.00142288208008,28.447879791259766,22.2549991607666,0.5306077599525452
2015-04-27,29.49585723876953,41.138465881347656,28.07396697998047,21.92799949645996,0.5347023010253906
2015-04-28,29.0311336517334,42.106346130371094,27.987184524536133,21.465499877929688,0.537351667881012
2015-04-29,28.604202270507812,42.02068328857422,27.83940887451172,21.4685001373291,0.5332571268081665
2015-04-30,27.82817268371582,41.660953521728516,27.213577270507812,21.089000701904297,0.5347023010253906
2015-05-01,28.673137664794922,41.67806625366211,27.33209991455078,21.14349937438965,0.5479496121406555
2015-05-04,28.617549896240234,41.31834411621094,27.41541290283203,21.152000427246094,0.5445776581764221
2015-05-05,27.972707748413086,40.77018356323242,26.92943000793457,21.059499740600586,0.5306077599525452
2015-05-06,27.797039031982422,39.639556884765625,26.534690856933594,20.954999923706055,0.5322937965393066
2015-05-07,27.968969345092773,39.99930191040039,26.879833221435547,21.3439998626709,0.54168701171875
2015-05-08,28.495933532714844,40.89865493774414,27.22250747680664,21.684499740600586,0.5017049312591553
